Row,Col,Min,Max,Avg,Sum,Count
0,0,5,7,6,10984,1773
0,1,4,7,5,9381,1773
0,2,3,6,4,8573,1773
0,3,3,6,4,8017,1773
0,4,3,6,4,7349,1773
0,5,2,6,3,6898,1773
0,6,2,6,3,6504,1773
0,7,0,5,2,4584,1773
0,8,2,5,3,5941,1773
0,9,1,4,2,4262,1773
0,10,1,4,2,3972,1773
0,11,1,4,2,4341,1773
0,12,1,4,2,4156,1773
0,13,1,5,2,4354,1773
0,14,1,5,3,5443,1773
0,15,2,5,3,6362,1773
1,0,5,7,6,11896,1927
1,1,4,7,5,11308,1927
1,2,3,6,4,9480,1927
1,3,3,6,4,8590,1927
1,4,3,6,4,7986,1927
1,5,2,6,3,7470,1927
1,6,2,5,3,6761,1927
1,7,1,5,2,5015,1927
1,8,2,5,3,6468,1927
1,9,1,4,2,4638,1927
1,10,1,3,2,4299,1927
1,11,1,4,2,4731,1927
1,12,1,4,2,4412,1927
1,13,1,4,2,4398,1927
1,14,1,4,2,4970,1927
1,15,1,5,2,4596,1927
2,0,5,8,7,12011,1700
2,1,5,8,6,10819,1700
2,2,4,7,5,9600,1700
2,3,4,7,5,9121,1700
2,4,4,7,5,9059,1700
2,5,3,7,4,8148,1700
2,6,3,6,4,7249,1700
2,7,1,5,2,4754,1700
2,8,3,6,4,7473,1700
2,9,2,4,3,5182,1700
2,10,2,4,2,4871,1700
2,11,255,0,0,0,0
2,12,1,4,2,4928,1700
2,13,2,5,2,4737,1700
2,14,1,5,3,5124,1700
2,15,1,5,2,4229,1700
3,0,6,9,7,9591,1296
3,1,6,10,7,9163,1296
3,2,7,9,7,10240,1296
3,3,11,14,12,16301,1296
3,4,7,10,8,10438,1296
3,5,9,13,11,14493,1296
3,6,4,7,5,6649,1296
3,7,2,5,3,4313,1296
3,8,3,6,4,6394,1296
3,9,2,5,3,4472,1296
3,10,2,4,2,3680,1296
3,11,1,4,2,3443,1296
3,12,1,5,2,3510,1296
3,13,1,4,2,3205,1296
3,14,2,4,2,3531,1296
3,15,1,4,2,2895,1296
4,0,6,9,6,11349,1632
4,1,5,8,6,10721,1632
4,2,5,8,6,10159,1632
4,3,4,7,5,8847,1632
4,4,4,7,5,8222,1632
4,5,3,7,4,8144,1632
4,6,3,7,4,7917,1632
4,7,2,5,2,4616,1632
4,8,2,6,3,6474,1632
4,9,0,4,2,4385,1632
4,10,255,0,0,0,0
4,11,1,4,2,4087,1632
4,12,1,4,2,3609,1632
4,13,1,4,2,3473,1632
4,14,1,4,2,3877,1632
4,15,255,0,0,0,0
5,0,7,9,8,17164,2070
5,1,6,10,8,16976,2070
5,2,8,11,9,19164,2070
5,3,14,18,15,32947,2070
5,4,17,20,18,38910,2070
5,5,13,17,14,30947,2070
5,6,4,7,5,12072,2070
5,7,1,5,3,6773,2070
5,8,4,7,5,10997,2070
5,9,2,5,3,7435,2070
5,10,1,4,2,5628,2070
5,11,1,4,2,5075,2070
5,12,1,4,2,4779,2070
5,13,1,4,2,4404,2070
5,14,1,4,2,4677,2070
5,15,0,3,1,3314,2070
6,0,5,7,6,10060,1638
6,1,4,7,5,8775,1638
6,2,4,7,5,8642,1638
6,3,3,6,4,8140,1638
6,4,3,6,4,7300,1638
6,5,3,6,4,6605,1638
6,6,3,6,3,6482,1638
6,7,0,5,2,3987,1638
6,8,3,5,3,5836,1638
6,9,1,4,2,3711,1638
6,10,255,0,0,0,0
6,11,1,4,2,4058,1638
6,12,1,4,2,3285,1638
6,13,1,4,1,3155,1638
6,14,1,4,2,3338,1638
6,15,0,3,1,2971,1638
7,0,5,8,6,9555,1439
7,1,5,8,6,8872,1439
7,2,4,7,5,7997,1439
7,3,4,6,5,7439,1439
7,4,4,8,5,8273,1439
7,5,4,7,5,7716,1439
7,6,3,7,4,6640,1439
7,7,2,5,3,4917,1439
7,8,3,6,4,6654,1439
7,9,2,5,3,5321,1439
7,10,255,0,0,0,0
7,11,2,5,3,4474,1439
7,12,2,5,2,4214,1439
7,13,255,0,0,0,0
7,14,2,5,2,4153,1439
7,15,255,0,0,0,0
