Row,Col,Min,Max,Avg,Sum,Count
0,0,5,8,6,9910,1573
0,1,4,7,5,8483,1573
0,2,3,7,4,7796,1573
0,3,3,7,4,7394,1573
0,4,3,6,4,6926,1573
0,5,3,6,4,6388,1573
0,6,2,6,3,5806,1573
0,7,1,5,2,4099,1573
0,8,2,5,3,5411,1573
0,9,1,4,2,3852,1573
0,10,1,4,2,3530,1573
0,11,1,5,2,3890,1573
0,12,1,4,2,3781,1573
0,13,1,4,2,3854,1573
0,14,2,5,3,4861,1573
0,15,2,6,3,5685,1573
1,0,5,7,6,10270,1645
1,1,4,7,5,9787,1645
1,2,3,7,5,8254,1645
1,3,3,7,4,7535,1645
1,4,3,6,4,7199,1645
1,5,2,6,4,6602,1645
1,6,2,6,3,5772,1645
1,7,1,4,2,4243,1645
1,8,2,5,3,5645,1645
1,9,1,4,2,4055,1645
1,10,0,4,2,3697,1645
1,11,1,4,2,4038,1645
1,12,1,4,2,3799,1645
1,13,1,4,2,3732,1645
1,14,1,5,2,4294,1645
1,15,1,4,2,3894,1645
2,0,5,9,7,10347,1450
2,1,5,8,6,9335,1450
2,2,4,8,5,8501,1450
2,3,4,7,5,8004,1450
2,4,4,8,5,8206,1450
2,5,3,7,4,7195,1450
2,6,3,7,4,6223,1450
2,7,1,5,2,4032,1450
2,8,3,6,4,6489,1450
2,9,2,4,3,4505,1450
2,10,2,4,2,4184,1450
2,11,255,0,0,0,0
2,12,1,5,2,4242,1450
2,13,1,5,2,4022,1450
2,14,2,5,3,4371,1450
2,15,1,4,2,3557,1450
3,0,5,8,6,7791,1188
3,1,5,7,6,7221,1188
3,2,4,7,5,6764,1188
3,3,4,8,5,6709,1188
3,4,5,8,5,7114,1188
3,5,4,7,5,6212,1188
3,6,3,6,4,5252,1188
3,7,1,5,3,3742,1188
3,8,3,6,4,5193,1188
3,9,2,4,3,3687,1188
3,10,2,4,2,3197,1188
3,11,1,5,2,3082,1188
3,12,1,4,2,3152,1188
3,13,1,4,2,2890,1188
3,14,1,5,2,3168,1188
3,15,1,4,2,2615,1188
4,0,6,8,7,9863,1399
4,1,5,8,6,9347,1399
4,2,5,8,6,9076,1399
4,3,4,7,5,7878,1399
4,4,4,7,5,7584,1399
4,5,4,7,5,7361,1399
4,6,3,7,4,6825,1399
4,7,1,5,2,3936,1399
4,8,3,5,4,5736,1399
4,9,1,4,2,3836,1399
4,10,255,0,0,0,0
4,11,1,4,2,3522,1399
4,12,1,4,2,3103,1399
4,13,1,4,2,2983,1399
4,14,1,4,2,3325,1399
4,15,255,0,0,0,0
5,0,5,8,6,11207,1716
5,1,4,7,6,10717,1716
5,2,4,7,5,9843,1716
5,3,3,7,5,9206,1716
5,4,4,6,4,8574,1716
5,5,3,6,4,7760,1716
5,6,3,6,4,7255,1716
5,7,1,5,2,4865,1716
5,8,3,6,3,6831,1716
5,9,2,4,2,4524,1716
5,10,1,4,2,3813,1716
5,11,0,4,2,3901,1716
5,12,1,4,2,3729,1716
5,13,1,4,2,3439,1716
5,14,1,4,2,3758,1716
5,15,0,3,1,2606,1716
6,0,5,7,6,8880,1426
6,1,4,7,5,7849,1426
6,2,4,7,5,7826,1426
6,3,4,7,5,7523,1426
6,4,3,7,4,6803,1426
6,5,2,6,4,5942,1426
6,6,3,6,3,5651,1426
6,7,0,4,2,3423,1426
6,8,3,5,3,5232,1426
6,9,2,4,2,3311,1426
6,10,255,0,0,0,0
6,11,1,4,2,3492,1426
6,12,1,4,2,2898,1426
6,13,0,3,1,2722,1426
6,14,1,4,2,2904,1426
6,15,0,3,1,2549,1426
7,0,6,8,6,8734,1300
7,1,5,7,6,8195,1300
7,2,5,7,5,7522,1300
7,3,4,7,5,7072,1300
7,4,4,8,6,7905,1300
7,5,4,8,5,7281,1300
7,6,3,7,4,5986,1300
7,7,2,6,3,4394,1300
7,8,3,6,4,6088,1300
7,9,2,5,3,4908,1300
7,10,255,0,0,0,0
7,11,2,5,3,4057,1300
7,12,1,5,2,3841,1300
7,13,255,0,0,0,0
7,14,2,5,2,3710,1300
7,15,255,0,0,0,0
