Row,Col,Min,Max,Avg,Sum,Count
0,0,5,7,6,7373,1170
0,1,3,7,5,6265,1170
0,2,4,6,4,5763,1170
0,3,3,7,4,5491,1170
0,4,2,6,4,5074,1170
0,5,3,6,3,4617,1170
0,6,2,5,3,4352,1170
0,7,1,4,2,3086,1170
0,8,3,6,3,4078,1170
0,9,0,4,2,2835,1170
0,10,1,3,2,2715,1170
0,11,1,4,2,2958,1170
0,12,1,4,2,2823,1170
0,13,1,4,2,2914,1170
0,14,2,5,3,3638,1170
0,15,2,5,3,4272,1170
1,0,5,7,6,7593,1219
1,1,4,7,5,7223,1219
1,2,4,6,4,6063,1219
1,3,3,6,4,5525,1219
1,4,3,6,4,5257,1219
1,5,3,6,3,4740,1219
1,6,2,5,3,4291,1219
1,7,1,4,2,3141,1219
1,8,3,5,3,4243,1219
1,9,1,4,2,2986,1219
1,10,1,4,2,2843,1219
1,11,1,4,2,3060,1219
1,12,1,4,2,2877,1219
1,13,1,4,2,2813,1219
1,14,1,4,2,3171,1219
1,15,1,4,2,2940,1219
2,0,6,9,7,7974,1079
2,1,5,8,6,7068,1079
2,2,5,7,6,6532,1079
2,3,4,7,5,6144,1079
2,4,4,7,5,6195,1079
2,5,4,7,4,5301,1079
2,6,3,7,4,4722,1079
2,7,1,4,2,3041,1079
2,8,3,6,4,5044,1079
2,9,2,5,3,3532,1079
2,10,2,4,3,3302,1079
2,11,255,0,0,0,0
2,12,2,4,3,3346,1079
2,13,2,5,3,3527,1079
2,14,3,7,4,4944,1079
2,15,8,11,9,9782,1079
3,0,6,8,6,6130,909
3,1,5,7,6,5604,909
3,2,5,7,5,5193,909
3,3,4,7,5,5149,909
3,4,5,7,5,5407,909
3,5,4,7,5,4666,909
3,6,3,6,4,4028,909
3,7,2,5,3,2859,909
3,8,3,6,4,3989,909
3,9,2,4,3,2879,909
3,10,2,4,2,2474,909
3,11,2,4,2,2402,909
3,12,1,4,2,2450,909
3,13,1,5,2,2227,909
3,14,2,5,2,2438,909
3,15,1,10,2,2041,909
4,0,6,8,7,7590,1054
4,1,6,8,6,7192,1054
4,2,5,8,6,6924,1054
4,3,4,7,5,5935,1054
4,4,4,7,5,5624,1054
4,5,4,7,5,5368,1054
4,6,4,6,4,5163,1054
4,7,1,5,2,2926,1054
4,8,3,5,4,4313,1054
4,9,2,4,2,2985,1054
4,10,255,0,0,0,0
4,11,1,4,2,2632,1054
4,12,1,3,2,2384,1054
4,13,1,3,2,2294,1054
4,14,1,4,2,2537,1054
4,15,255,0,0,0,0
5,0,6,8,7,9054,1260
5,1,5,8,6,8362,1260
5,2,5,8,6,8131,1260
5,3,5,8,6,8080,1260
5,4,7,10,8,10438,1260
5,5,13,17,14,18640,1260
5,6,4,8,5,6971,1260
5,7,1,5,3,3886,1260
5,8,4,6,4,5996,1260
5,9,2,4,3,4105,1260
5,10,1,4,2,3251,1260
5,11,1,4,2,3055,1260
5,12,1,4,2,2897,1260
5,13,1,4,2,2655,1260
5,14,1,4,2,2848,1260
5,15,0,3,1,1949,1260
6,0,5,7,6,6597,1046
6,1,4,7,5,5845,1046
6,2,4,7,5,5888,1046
6,3,4,7,5,5616,1046
6,4,3,6,4,4864,1046
6,5,3,6,4,4271,1046
6,6,3,6,3,4168,1046
6,7,1,5,2,2563,1046
6,8,3,5,3,3836,1046
6,9,2,4,2,2372,1046
6,10,255,0,0,0,0
6,11,1,4,2,2699,1046
6,12,1,4,1,2090,1046
6,13,1,3,1,2039,1046
6,14,1,4,2,2134,1046
6,15,0,4,1,1923,1046
7,0,6,8,6,6544,964
7,1,5,7,6,6037,964
7,2,4,7,5,5563,964
7,3,4,7,5,5242,964
7,4,5,7,5,5755,964
7,5,4,7,5,5155,964
7,6,3,6,4,4399,964
7,7,2,5,3,3226,964
7,8,4,6,4,4515,964
7,9,3,5,3,3538,964
7,10,255,0,0,0,0
7,11,2,4,3,3014,964
7,12,2,4,2,2801,964
7,13,255,0,0,0,0
7,14,2,4,2,2689,964
7,15,255,0,0,0,0
