Row,Col,Min,Max,Avg,Sum,Count
0,0,5,8,6,6678,1061
0,1,4,7,5,5701,1061
0,2,4,6,4,5241,1061
0,3,3,7,4,5006,1061
0,4,3,6,4,4679,1061
0,5,3,6,4,4295,1061
0,6,2,5,3,3921,1061
0,7,1,4,2,2774,1061
0,8,3,5,3,3684,1061
0,9,1,4,2,2593,1061
0,10,1,4,2,2466,1061
0,11,1,4,2,2682,1061
0,12,1,4,2,2576,1061
0,13,2,5,2,2635,1061
0,14,2,5,3,3290,1061
0,15,2,5,3,3900,1061
1,0,5,7,6,7037,1124
1,1,5,7,5,6666,1124
1,2,4,6,4,5598,1124
1,3,3,7,4,5094,1124
1,4,3,6,4,4932,1124
1,5,3,6,3,4463,1124
1,6,2,6,3,3977,1124
1,7,1,5,2,2888,1124
1,8,3,5,3,3937,1124
1,9,2,4,2,2779,1124
1,10,1,3,2,2659,1124
1,11,1,5,2,2806,1124
1,12,1,4,2,2663,1124
1,13,1,4,2,2600,1124
1,14,1,4,2,2953,1124
1,15,1,5,2,2712,1124
2,0,6,9,7,7348,1004
2,1,6,8,6,6498,1004
2,2,5,7,5,5969,1004
2,3,4,7,5,5648,1004
2,4,4,7,5,5745,1004
2,5,4,7,4,4934,1004
2,6,3,6,4,4347,1004
2,7,1,4,2,2804,1004
2,8,3,6,4,4564,1004
2,9,2,5,3,3183,1004
2,10,2,4,2,2929,1004
2,11,255,0,0,0,0
2,12,1,4,2,2942,1004
2,13,2,5,2,2793,1004
2,14,2,5,3,3094,1004
2,15,1,4,2,2579,1004
3,0,6,8,6,5452,810
3,1,5,7,6,4993,810
3,2,5,7,5,4687,810
3,3,4,7,5,4634,810
3,4,5,7,5,4857,810
3,5,4,7,5,4221,810
3,6,3,6,4,3624,810
3,7,2,5,3,2547,810
3,8,3,6,4,3522,810
3,9,2,5,3,2574,810
3,10,2,4,2,2244,810
3,11,2,4,2,2143,810
3,12,2,4,2,2157,810
3,13,1,4,2,1972,810
3,14,1,5,2,2204,810
3,15,1,4,2,1840,810
4,0,6,9,7,6839,947
4,1,6,8,6,6462,947
4,2,5,8,6,6248,947
4,3,4,8,5,5381,947
4,4,4,7,5,5209,947
4,5,3,7,5,4998,947
4,6,4,7,4,4671,947
4,7,2,5,2,2661,947
4,8,3,5,4,3917,947
4,9,2,4,2,2695,947
4,10,255,0,0,0,0
4,11,1,4,2,2393,947
4,12,1,4,2,2159,947
4,13,1,4,2,2052,947
4,14,1,4,2,2275,947
4,15,255,0,0,0,0
5,0,6,8,6,7891,1159
5,1,5,8,6,7397,1159
5,2,4,7,5,6769,1159
5,3,4,7,5,6291,1159
5,4,4,7,5,5882,1159
5,5,3,6,4,5223,1159
5,6,3,6,4,4925,1159
5,7,1,5,2,3234,1159
5,8,3,5,4,4740,1159
5,9,2,4,2,3059,1159
5,10,1,3,2,2657,1159
5,11,1,4,2,2717,1159
5,12,1,4,2,2533,1159
5,13,1,4,2,2362,1159
5,14,1,4,2,2564,1159
5,15,0,3,1,1810,1159
6,0,5,7,6,6011,953
6,1,4,7,5,5344,953
6,2,4,8,5,5395,953
6,3,4,7,5,5158,953
6,4,3,6,4,4537,953
6,5,3,6,4,3929,953
6,6,2,6,3,3786,953
6,7,0,4,2,2337,953
6,8,3,5,3,3538,953
6,9,1,4,2,2164,953
6,10,255,0,0,0,0
6,11,1,4,2,2470,953
6,12,1,3,2,1933,953
6,13,1,3,1,1851,953
6,14,1,4,2,1940,953
6,15,0,3,1,1769,953
7,0,6,8,6,5913,865
7,1,5,8,6,5439,865
7,2,4,7,5,5027,865
7,3,4,7,5,4741,865
7,4,5,8,6,5306,865
7,5,4,7,5,4729,865
7,6,3,6,4,3930,865
7,7,2,5,3,2885,865
7,8,3,6,4,4095,865
7,9,3,5,3,3210,865
7,10,255,0,0,0,0
7,11,2,5,3,2701,865
7,12,2,5,2,2550,865
7,13,255,0,0,0,0
7,14,2,5,2,2443,865
7,15,255,0,0,0,0
