Row,Col,Min,Max,Avg,Sum,Count
0,0,4,7,6,15173,2427
0,1,4,8,5,12830,2427
0,2,4,7,4,11899,2427
0,3,3,7,4,11281,2427
0,4,3,6,4,10182,2427
0,5,3,6,4,9708,2427
0,6,2,6,3,9003,2427
0,7,1,5,2,6399,2427
0,8,2,5,3,8327,2427
0,9,1,4,2,5801,2427
0,10,1,4,2,5567,2427
0,11,1,4,2,6139,2427
0,12,1,4,2,5851,2427
0,13,1,5,2,5906,2427
0,14,2,5,3,7504,2427
0,15,2,6,3,8890,2427
1,0,5,7,6,16580,2666
1,1,4,7,5,15656,2666
1,2,4,7,4,13173,2666
1,3,3,7,4,12074,2666
1,4,3,6,4,11099,2666
1,5,2,6,3,10515,2666
1,6,2,5,3,9411,2666
1,7,1,5,2,6942,2666
1,8,2,5,3,9171,2666
1,9,1,4,2,6447,2666
1,10,1,4,2,6193,2666
1,11,1,5,2,6773,2666
1,12,1,4,2,6264,2666
1,13,1,4,2,6095,2666
1,14,1,4,2,6944,2666
1,15,1,5,2,6525,2666
2,0,6,9,7,17082,2343
2,1,5,8,6,15105,2343
2,2,5,7,5,13794,2343
2,3,4,7,5,12930,2343
2,4,3,7,5,12720,2343
2,5,3,7,4,11520,2343
2,6,3,6,4,10102,2343
2,7,1,5,2,6503,2343
2,8,3,6,4,10563,2343
2,9,2,4,3,7410,2343
2,10,2,4,2,6817,2343
2,11,255,0,0,0,0
2,12,2,5,2,6808,2343
2,13,2,5,2,6512,2343
2,14,2,5,3,7173,2343
2,15,1,4,2,5975,2343
3,0,5,8,6,12253,1828
3,1,5,8,6,11126,1828
3,2,4,7,5,10329,1828
3,3,4,7,5,10245,1828
3,4,4,7,5,10653,1828
3,5,4,7,5,9407,1828
3,6,3,7,4,8086,1828
3,7,2,6,3,5785,1828
3,8,3,5,4,7985,1828
3,9,2,4,3,5685,1828
3,10,1,4,2,4962,1828
3,11,1,4,2,4872,1828
3,12,2,4,2,4895,1828
3,13,1,4,2,4389,1828
3,14,1,5,2,4875,1828
3,15,0,5,2,4183,1828
4,0,6,9,7,16453,2288
4,1,6,8,6,15372,2288
4,2,5,8,6,14828,2288
4,3,4,7,5,12812,2288
4,4,4,7,5,12255,2288
4,5,4,7,5,11878,2288
4,6,4,7,4,11266,2288
4,7,1,5,2,6458,2288
4,8,3,6,4,9333,2288
4,9,1,4,2,6323,2288
4,10,255,0,0,0,0
4,11,1,4,2,5855,2288
4,12,1,4,2,5136,2288
4,13,1,4,2,4890,2288
4,14,1,4,2,5481,2288
4,15,255,0,0,0,0
5,0,6,10,7,22779,2875
5,1,6,9,7,21373,2875
5,2,6,10,7,22544,2875
5,3,8,12,9,28205,2875
5,4,25,29,26,76429,2875
5,5,5,10,7,21837,2875
5,6,3,7,5,14558,2875
5,7,1,5,3,8992,2875
5,8,4,7,5,14880,2875
5,9,2,5,3,10071,2875
5,10,1,5,2,7784,2875
5,11,1,5,2,7098,2875
5,12,1,4,2,6414,2875
5,13,0,4,2,6022,2875
5,14,0,4,2,6452,2875
5,15,0,3,1,4513,2875
6,0,5,7,6,14076,2235
6,1,4,8,5,12234,2235
6,2,4,7,5,12429,2235
6,3,4,9,5,11791,2235
6,4,3,26,4,10067,2235
6,5,3,7,4,9182,2235
6,6,3,6,3,8939,2235
6,7,1,4,2,5589,2235
6,8,3,5,3,8119,2235
6,9,1,4,2,4954,2235
6,10,255,0,0,0,0
6,11,1,4,2,5854,2235
6,12,1,4,1,4467,2235
6,13,1,4,1,4261,2235
6,14,1,4,2,4566,2235
6,15,0,3,1,4186,2235
7,0,6,8,6,12998,1918
7,1,5,7,6,11889,1918
7,2,4,8,5,10948,1918
7,3,4,7,5,10261,1918
7,4,4,7,5,11171,1918
7,5,4,7,5,10417,1918
7,6,3,6,4,8786,1918
7,7,2,5,3,6460,1918
7,8,3,6,4,8987,1918
7,9,3,5,3,7009,1918
7,10,255,0,0,0,0
7,11,2,5,3,6030,1918
7,12,2,4,2,5650,1918
7,13,255,0,0,0,0
7,14,1,5,2,5402,1918
7,15,255,0,0,0,0
