Row,Col,Min,Max,Avg,Sum,Count
0,0,5,24,6,6363,1014
0,1,4,20,5,5369,1014
0,2,4,20,4,4966,1014
0,3,3,20,4,4712,1014
0,4,3,18,4,4252,1014
0,5,3,20,4,4087,1014
0,6,2,20,3,3784,1014
0,7,0,18,2,2672,1014
0,8,3,20,3,3492,1014
0,9,1,18,2,2436,1014
0,10,1,20,2,2327,1014
0,11,1,20,2,2569,1014
0,12,1,24,2,2456,1014
0,13,1,24,2,2495,1014
0,14,2,28,3,3170,1014
0,15,2,28,3,3715,1014
1,0,5,24,6,6950,1118
1,1,4,22,5,6522,1118
1,2,4,20,4,5538,1118
1,3,3,22,4,5069,1118
1,4,3,20,4,4648,1118
1,5,3,20,3,4400,1118
1,6,2,20,3,3966,1118
1,7,1,18,2,2918,1118
1,8,2,20,3,3842,1118
1,9,1,18,2,2682,1118
1,10,1,20,2,2565,1118
1,11,1,22,2,2846,1118
1,12,1,18,2,2637,1118
1,13,1,18,2,2540,1118
1,14,1,18,2,2922,1118
1,15,1,18,2,2742,1118
2,0,6,9,7,6974,959
2,1,5,8,6,6149,959
2,2,5,8,5,5642,959
2,3,4,7,5,5324,959
2,4,4,7,5,5189,959
2,5,4,7,4,4695,959
2,6,3,6,4,4112,959
2,7,1,5,2,2686,959
2,8,3,6,4,4331,959
2,9,2,4,3,2992,959
2,10,2,4,2,2790,959
2,11,255,0,0,0,0
2,12,2,5,2,2804,959
2,13,2,4,2,2668,959
2,14,2,5,3,2935,959
2,15,1,4,2,2440,959
3,0,5,8,6,5040,756
3,1,5,7,6,4625,756
3,2,5,7,5,4296,756
3,3,4,7,5,4189,756
3,4,4,7,5,4389,756
3,5,4,7,5,3917,756
3,6,3,6,4,3357,756
3,7,2,5,3,2377,756
3,8,3,6,4,3286,756
3,9,2,4,3,2378,756
3,10,2,4,2,2071,756
3,11,1,4,2,1996,756
3,12,1,4,2,2028,756
3,13,2,4,2,1824,756
3,14,1,4,2,2033,756
3,15,1,4,2,1704,756
4,0,6,8,7,7013,974
4,1,6,8,6,6576,974
4,2,5,8,6,6320,974
4,3,4,7,5,5437,974
4,4,4,7,5,5288,974
4,5,4,7,5,5065,974
4,6,4,7,4,4779,974
4,7,2,5,2,2766,974
4,8,3,5,4,3996,974
4,9,2,4,2,2699,974
4,10,255,0,0,0,0
4,11,1,4,2,2489,974
4,12,1,4,2,2232,974
4,13,1,3,2,2079,974
4,14,1,4,2,2310,974
4,15,255,0,0,0,0
5,0,7,9,7,9282,1163
5,1,6,9,7,8710,1163
5,2,7,9,7,9242,1163
5,3,8,11,10,11741,1163
5,4,27,29,27,32329,1163
5,5,6,10,7,8993,1163
5,6,4,7,5,5936,1163
5,7,2,6,3,3660,1163
5,8,4,6,5,6051,1163
5,9,2,5,3,4109,1163
5,10,2,4,2,3161,1163
5,11,0,4,2,2870,1163
5,12,1,4,2,2616,1163
5,13,1,4,2,2435,1163
5,14,1,5,2,2612,1163
5,15,0,3,1,1832,1163
6,0,5,7,6,5719,908
6,1,4,7,5,4972,908
6,2,4,7,5,5055,908
6,3,3,7,5,4784,908
6,4,3,6,4,4089,908
6,5,3,6,4,3726,908
6,6,3,5,3,3621,908
6,7,1,4,2,2279,908
6,8,3,5,3,3314,908
6,9,1,4,2,2010,908
6,10,255,0,0,0,0
6,11,1,4,2,2381,908
6,12,1,4,2,1821,908
6,13,1,3,1,1733,908
6,14,1,3,2,1855,908
6,15,0,3,1,1711,908
7,0,5,8,6,5559,819
7,1,5,7,6,5108,819
7,2,4,7,5,4674,819
7,3,3,7,5,4368,819
7,4,4,7,5,4772,819
7,5,4,7,5,4456,819
7,6,3,6,4,3752,819
7,7,2,5,3,2719,819
7,8,4,6,4,3835,819
7,9,3,5,3,3008,819
7,10,255,0,0,0,0
7,11,1,5,3,2556,819
7,12,2,4,2,2413,819
7,13,255,0,0,0,0
7,14,2,4,2,2306,819
7,15,255,0,0,0,0
