Row,Col,Min,Max,Avg,Sum,Count
0,0,5,7,6,5911,941
0,1,4,7,5,4982,941
0,2,4,7,4,4601,941
0,3,3,7,4,4340,941
0,4,3,6,4,3938,941
0,5,3,7,4,3787,941
0,6,2,6,3,3498,941
0,7,1,5,2,2486,941
0,8,2,5,3,3221,941
0,9,1,4,2,2265,941
0,10,1,3,2,2157,941
0,11,1,4,2,2360,941
0,12,1,4,2,2267,941
0,13,1,5,2,2300,941
0,14,2,5,3,2890,941
0,15,2,5,3,3432,941
1,0,5,7,6,6959,1119
1,1,4,7,5,6582,1119
1,2,4,6,4,5525,1119
1,3,3,6,4,5018,1119
1,4,3,6,4,4640,1119
1,5,3,6,3,4425,1119
1,6,2,5,3,3958,1119
1,7,1,5,2,2890,1119
1,8,2,5,3,3841,1119
1,9,1,4,2,2741,1119
1,10,1,3,2,2605,1119
1,11,1,4,2,2804,1119
1,12,1,4,2,2614,1119
1,13,1,4,2,2562,1119
1,14,1,4,2,2898,1119
1,15,1,4,2,2716,1119
2,0,6,9,7,7797,1031
2,1,6,8,6,6871,1031
2,2,5,7,6,6300,1031
2,3,4,7,5,5879,1031
2,4,4,7,5,5836,1031
2,5,3,7,5,5301,1031
2,6,3,6,4,4489,1031
2,7,1,5,2,2893,1031
2,8,3,6,4,5145,1031
2,9,2,5,3,3505,1031
2,10,3,5,3,3739,1031
2,11,255,0,0,0,0
2,12,2,5,4,4305,1031
2,13,4,8,6,6410,1031
2,14,21,24,22,22898,1031
2,15,3,6,4,4847,1031
3,0,6,8,6,4864,728
3,1,5,7,6,4476,728
3,2,4,7,5,4135,728
3,3,4,7,5,4071,728
3,4,5,7,5,4238,728
3,5,4,7,5,3786,728
3,6,3,6,4,3249,728
3,7,2,5,3,2309,728
3,8,3,6,4,3150,728
3,9,2,4,3,2293,728
3,10,2,4,2,1981,728
3,11,1,4,2,1928,728
3,12,1,4,2,1944,728
3,13,1,4,2,1773,728
3,14,2,4,2,1940,728
3,15,1,4,2,1671,728
4,0,6,9,7,6466,896
4,1,6,8,6,6052,896
4,2,5,8,6,5865,896
4,3,4,7,5,4995,896
4,4,4,7,5,4867,896
4,5,3,7,5,4685,896
4,6,3,6,4,4415,896
4,7,1,4,2,2533,896
4,8,3,5,4,3667,896
4,9,2,4,2,2488,896
4,10,255,0,0,0,0
4,11,1,4,2,2268,896
4,12,0,4,2,2021,896
4,13,1,4,2,1919,896
4,14,1,3,2,2097,896
4,15,255,0,0,0,0
5,0,7,9,8,9624,1195
5,1,6,9,7,9052,1195
5,2,7,10,8,9617,1195
5,3,9,12,10,12427,1195
5,4,28,31,29,35181,1195
5,5,7,10,7,9508,1195
5,6,4,7,5,6165,1195
5,7,2,5,3,3816,1195
5,8,4,7,5,6262,1195
5,9,2,5,3,4244,1195
5,10,2,4,2,3287,1195
5,11,1,4,2,2964,1195
5,12,1,4,2,2657,1195
5,13,1,4,2,2530,1195
5,14,1,4,2,2638,1195
5,15,0,3,1,1897,1195
6,0,5,7,6,6065,959
6,1,4,7,5,5282,959
6,2,4,7,5,5333,959
6,3,4,7,5,5068,959
6,4,3,6,4,4335,959
6,5,3,6,4,3946,959
6,6,3,6,3,3820,959
6,7,1,4,2,2380,959
6,8,3,5,3,3526,959
6,9,2,4,2,2161,959
6,10,255,0,0,0,0
6,11,1,4,2,2485,959
6,12,1,4,2,1925,959
6,13,1,3,1,1827,959
6,14,1,4,1,1900,959
6,15,0,3,1,1795,959
7,0,6,8,6,5358,789
7,1,5,8,6,4924,789
7,2,5,8,5,4503,789
7,3,4,7,5,4219,789
7,4,5,8,5,4544,789
7,5,4,7,5,4338,789
7,6,3,7,4,3621,789
7,7,2,5,3,2657,789
7,8,3,6,4,3688,789
7,9,3,5,3,2886,789
7,10,255,0,0,0,0
7,11,2,5,3,2451,789
7,12,2,4,2,2316,789
7,13,255,0,0,0,0
7,14,1,5,2,2123,789
7,15,255,0,0,0,0
