Row,Col,Min,Max,Avg,Sum,Count
0,0,7,15,10,2541,235
0,1,6,14,9,3271,331
0,2,7,12,9,2848,305
0,3,8,11,9,3798,408
0,4,6,10,8,3702,447
0,5,6,11,8,5720,648
0,6,8,12,8,3242,361
0,7,6,9,7,1954,250
0,8,7,10,8,2656,311
0,9,5,7,6,2869,463
0,10,7,10,9,4854,537
0,11,6,9,7,3368,432
0,12,7,11,9,2387,259
0,13,7,12,9,7175,794
0,14,8,11,8,7404,861
0,15,8,11,8,4213,470
1,0,7,15,11,5804,496
1,1,8,15,11,5477,494
1,2,7,14,10,6181,562
1,3,8,13,10,7596,723
1,4,6,12,9,7666,803
1,5,7,12,9,5243,544
1,6,8,13,10,5681,559
1,7,7,10,8,3705,449
1,8,8,11,9,3463,373
1,9,7,11,8,3835,432
1,10,6,12,9,6943,709
1,11,7,11,9,5791,615
1,12,5,10,8,5535,671
1,13,5,12,8,9978,1160
1,14,5,11,8,6065,702
1,15,5,10,7,7274,960
2,0,8,12,9,2805,291
2,1,7,11,9,1998,215
2,2,8,11,9,2695,291
2,3,8,11,9,2546,275
2,4,8,11,8,1691,194
2,5,5,7,6,571,93
2,6,7,11,8,1985,225
2,7,6,9,7,2422,326
2,8,6,9,7,2031,264
2,9,6,10,8,5199,634
2,10,8,9,8,3011,347
2,11,255,0,0,0,0
2,12,6,10,7,4576,588
2,13,6,10,7,6292,889
2,14,5,7,5,5020,888
2,15,5,9,7,6519,886
3,0,9,13,10,2340,219
3,1,9,12,9,1506,152
3,2,7,11,8,2022,226
3,3,7,11,9,2666,285
3,4,6,10,8,1054,119
3,5,7,11,8,1914,228
3,6,7,10,8,1454,178
3,7,6,9,7,2737,367
3,8,7,11,8,2825,329
3,9,8,11,8,2455,276
3,10,7,9,7,1196,157
3,11,7,10,8,1613,188
3,12,6,9,7,6231,849
3,13,6,10,7,5266,678
3,14,5,10,7,5159,682
3,15,6,9,7,5256,681
4,0,7,12,9,1498,160
4,1,6,11,8,2128,254
4,2,7,12,9,1214,130
4,3,8,11,8,1891,212
4,4,6,10,7,2172,282
4,5,8,11,8,2461,281
4,6,7,11,8,3707,413
4,7,5,8,7,2017,285
4,8,7,11,9,4439,479
4,9,7,10,8,2857,357
4,10,255,0,0,0,0
4,11,7,10,8,1399,158
4,12,6,10,7,8392,1060
4,13,6,9,7,6629,871
4,14,5,10,7,5565,780
4,15,255,0,0,0,0
5,0,8,14,10,4031,372
5,1,6,11,8,3188,359
5,2,8,11,9,2569,279
5,3,7,12,8,4629,518
5,4,7,11,8,4279,509
5,5,7,11,8,4340,532
5,6,7,11,8,3629,409
5,7,6,9,7,2471,351
5,8,8,11,9,4228,461
5,9,7,10,8,3690,435
5,10,8,10,8,5747,652
5,11,8,11,9,6116,676
5,12,7,11,8,7990,890
5,13,6,10,8,9393,1122
5,14,5,10,8,9068,1049
5,15,6,10,7,7789,1043
6,0,7,13,10,1723,170
6,1,8,11,9,1614,173
6,2,8,11,9,1264,140
6,3,6,8,6,2305,360
6,4,7,11,8,4559,522
6,5,8,11,8,3688,411
6,6,8,12,9,3424,355
6,7,7,11,8,2860,321
6,8,7,11,8,3743,437
6,9,6,10,8,2295,282
6,10,255,0,0,0,0
6,11,7,11,8,10651,1208
6,12,6,9,6,8147,1166
6,13,7,9,8,7696,955
6,14,5,10,7,6646,872
6,15,5,9,6,3395,490
7,0,10,14,10,796,74
7,1,9,12,9,718,74
7,2,8,12,9,1670,178
7,3,8,12,9,4195,431
7,4,7,12,10,3842,381
7,5,6,8,6,3601,589
7,6,7,11,9,3423,373
7,7,8,11,9,2004,220
7,8,8,12,9,3223,327
7,9,8,11,9,2704,298
7,10,255,0,0,0,0
7,11,7,11,8,6874,778
7,12,7,10,8,8327,1007
7,13,255,0,0,0,0
7,14,7,10,7,5130,701
7,15,255,0,0,0,0
