Row,Col,Min,Max,Avg,Sum,Count
0,0,2,6,3,2750,834
0,1,1,5,2,1990,834
0,2,1,3,2,1915,834
0,3,1,4,2,2011,834
0,4,1,4,1,1633,834
0,5,1,4,1,1627,834
0,6,0,3,2,1785,834
0,7,1,3,1,1483,834
0,8,2,5,2,2182,834
0,9,1,4,2,1854,834
0,10,1,3,2,1830,834
0,11,1,4,2,2182,834
0,12,2,5,3,2622,834
0,13,2,5,3,2848,834
0,14,2,6,4,3471,834
0,15,3,6,4,3929,834
1,0,2,5,3,2836,890
1,1,1,5,2,2139,890
1,2,0,4,2,2078,890
1,3,1,4,2,2114,890
1,4,1,3,2,1817,890
1,5,1,3,2,1789,890
1,6,1,5,2,1943,890
1,7,1,4,1,1495,890
1,8,2,4,2,2340,890
1,9,1,4,2,1971,890
1,10,0,3,2,1910,890
1,11,1,4,2,2218,890
1,12,1,4,2,2169,890
1,13,1,4,2,2107,890
1,14,2,5,2,2516,890
1,15,2,5,2,2446,890
2,0,2,4,2,2238,750
2,1,1,4,2,1706,750
2,2,1,3,1,1476,750
2,3,0,3,1,1495,750
2,4,1,4,2,1654,750
2,5,0,3,2,1519,750
2,6,1,3,2,1661,750
2,7,0,3,1,1368,750
2,8,2,4,2,2172,750
2,9,1,4,2,1637,750
2,10,1,3,2,1526,750
2,11,255,0,0,0,0
2,12,2,4,2,1993,750
2,13,1,4,2,1915,750
2,14,2,4,2,2094,750
2,15,2,4,2,1927,750
3,0,2,5,3,1929,601
3,1,2,4,2,1578,601
3,2,1,4,2,1356,601
3,3,1,4,2,1501,601
3,4,1,4,2,1317,601
3,5,1,4,2,1368,601
3,6,1,4,2,1280,601
3,7,1,4,1,973,601
3,8,2,4,2,1495,601
3,9,1,4,2,1305,601
3,10,1,4,2,1251,601
3,11,1,4,2,1535,601
3,12,1,3,2,1354,601
3,13,1,4,2,1304,601
3,14,2,4,2,1498,601
3,15,1,4,2,1363,601
4,0,2,5,3,2412,737
4,1,1,4,2,1728,737
4,2,1,5,2,1910,737
4,3,1,4,2,1828,737
4,4,1,4,2,1511,737
4,5,1,4,2,1507,737
4,6,1,4,2,1667,737
4,7,0,3,1,1360,737
4,8,2,5,3,2233,737
4,9,1,4,2,1716,737
4,10,255,0,0,0,0
4,11,1,4,2,1885,737
4,12,1,4,2,1858,737
4,13,1,4,2,1710,737
4,14,2,4,2,2027,737
4,15,255,0,0,0,0
5,0,2,5,3,2948,913
5,1,2,4,2,2399,913
5,2,1,5,2,2347,913
5,3,0,4,2,2075,913
5,4,1,4,2,1937,913
5,5,1,4,2,2008,913
5,6,1,4,2,2291,913
5,7,1,4,2,1890,913
5,8,2,4,3,2824,913
5,9,1,4,2,2358,913
5,10,1,4,2,1926,913
5,11,0,4,2,2168,913
5,12,2,5,3,2743,913
5,13,2,5,2,2641,913
5,14,2,4,2,2687,913
5,15,1,4,2,2251,913
6,0,2,5,3,2415,763
6,1,0,4,2,1672,763
6,2,1,4,2,2015,763
6,3,1,4,2,2045,763
6,4,1,4,2,1690,763
6,5,1,4,2,1627,763
6,6,2,4,2,2100,763
6,7,1,4,2,1711,763
6,8,2,4,3,2296,763
6,9,1,4,2,1663,763
6,10,255,0,0,0,0
6,11,1,4,2,2120,763
6,12,1,4,2,1786,763
6,13,2,4,2,1714,763
6,14,2,4,2,2140,763
6,15,1,4,2,2080,763
7,0,2,5,4,2734,666
7,1,2,5,2,1993,666
7,2,2,4,2,1809,666
7,3,2,5,2,1843,666
7,4,1,4,2,1748,666
7,5,0,4,2,1479,666
7,6,1,4,2,1452,666
7,7,1,4,2,1664,666
7,8,2,4,3,2112,666
7,9,2,4,2,1737,666
7,10,255,0,0,0,0
7,11,2,5,2,1981,666
7,12,2,4,3,2089,666
7,13,255,0,0,0,0
7,14,2,5,3,2077,666
7,15,255,0,0,0,0
