Row,Col,Min,Max,Avg,Sum,Count
0,0,8,11,9,13903,1495
0,1,8,11,9,14508,1495
0,2,8,12,9,14374,1495
0,3,8,12,10,15111,1495
0,4,8,11,9,13732,1495
0,5,8,11,9,13525,1495
0,6,8,11,9,13562,1495
0,7,6,10,7,10998,1495
0,8,8,11,9,14156,1495
0,9,7,10,8,12514,1495
0,10,7,10,8,12139,1495
0,11,6,9,7,11216,1495
0,12,7,9,7,11551,1495
0,13,6,9,7,10830,1495
0,14,7,9,7,11720,1495
0,15,6,9,7,11368,1495
1,0,9,11,10,17652,1729
1,1,9,11,9,17229,1729
1,2,9,12,10,18463,1729
1,3,8,11,9,16636,1729
1,4,8,12,9,16149,1729
1,5,7,10,8,14287,1729
1,6,7,10,8,14816,1729
1,7,6,9,7,12825,1729
1,8,9,11,9,16638,1729
1,9,7,10,8,14927,1729
1,10,8,11,9,15586,1729
1,11,6,9,7,13414,1729
1,12,5,8,6,10849,1729
1,13,7,9,7,13356,1729
1,14,7,10,8,13869,1729
1,15,6,8,6,11574,1729
2,0,8,11,9,12406,1333
2,1,9,12,10,13528,1333
2,2,8,10,8,11930,1333
2,3,8,11,9,12056,1333
2,4,9,11,9,12692,1333
2,5,7,9,7,10247,1333
2,6,7,9,7,10552,1333
2,7,6,9,7,10040,1333
2,8,8,11,9,12442,1333
2,9,8,10,8,11524,1333
2,10,6,8,6,9320,1333
2,11,255,0,0,0,0
2,12,4,7,5,6820,1333
2,13,6,8,6,8667,1333
2,14,6,8,6,8838,1333
2,15,5,7,6,8211,1333
3,0,9,12,11,10635,962
3,1,8,11,9,8790,962
3,2,8,10,9,8713,962
3,3,7,10,8,8238,962
3,4,7,10,8,8119,962
3,5,7,11,9,8693,962
3,6,8,11,8,8581,962
3,7,6,9,7,7097,962
3,8,7,10,8,7917,962
3,9,5,9,6,5969,962
3,10,7,9,8,7750,962
3,11,1,10,8,8038,962
3,12,5,8,7,6736,962
3,13,4,7,5,4994,962
3,14,6,9,6,6191,962
3,15,6,8,6,6338,962
4,0,9,12,9,13714,1373
4,1,8,10,9,12798,1373
4,2,9,11,10,13884,1373
4,3,9,11,9,13524,1373
4,4,7,10,8,11441,1373
4,5,7,9,8,11278,1373
4,6,7,10,8,11620,1373
4,7,5,8,6,8966,1373
4,8,10,13,10,14592,1373
4,9,6,9,7,10209,1373
4,10,255,0,0,0,0
4,11,6,8,6,9551,1373
4,12,5,8,6,8736,1373
4,13,5,7,5,7987,1373
4,14,4,7,5,8041,1373
4,15,255,0,0,0,0
5,0,9,13,10,19716,1819
5,1,8,10,9,16516,1819
5,2,7,9,7,13814,1819
5,3,7,9,8,15156,1819
5,4,7,10,8,14967,1819
5,5,5,8,6,11122,1819
5,6,7,11,9,16397,1819
5,7,5,9,6,11843,1819
5,8,9,13,10,18644,1819
5,9,7,10,8,15552,1819
5,10,8,11,8,16272,1819
5,11,6,8,6,11788,1819
5,12,5,9,6,12377,1819
5,13,6,9,6,12632,1819
5,14,5,8,6,11552,1819
5,15,5,8,5,10594,1819
6,0,10,13,10,14562,1332
6,1,8,10,9,12206,1332
6,2,7,11,8,10989,1332
6,3,5,7,6,8175,1332
6,4,7,10,8,11710,1332
6,5,7,10,8,10856,1332
6,6,9,11,9,12975,1332
6,7,6,9,7,9421,1332
6,8,8,11,9,12039,1332
6,9,6,9,7,9663,1332
6,10,255,0,0,0,0
6,11,6,8,6,9091,1332
6,12,5,8,6,9104,1332
6,13,4,7,5,7100,1332
6,14,5,7,5,7817,1332
6,15,4,7,5,7392,1332
7,0,8,10,9,9255,1021
7,1,8,11,9,9393,1021
7,2,8,10,9,9240,1021
7,3,8,11,9,9309,1021
7,4,9,12,10,10433,1021
7,5,7,10,8,8710,1021
7,6,7,10,8,8463,1021
7,7,7,9,7,8076,1021
7,8,8,10,8,8821,1021
7,9,7,9,8,8189,1021
7,10,255,0,0,0,0
7,11,6,9,6,7059,1021
7,12,5,8,6,6292,1021
7,13,255,0,0,0,0
7,14,5,8,5,6106,1021
7,15,255,0,0,0,0
