Row,Col,Min,Max,Avg,Sum,Count
0,0,0,3,1,2427,1859
0,1,0,2,0,694,1859
0,2,0,2,0,687,1859
0,3,0,2,0,1116,1859
0,4,0,2,0,526,1859
0,5,0,2,0,175,1859
0,6,0,3,0,458,1859
0,7,0,2,0,161,1859
0,8,0,2,0,1719,1859
0,9,0,2,0,513,1859
0,10,0,1,0,560,1859
0,11,0,2,0,1114,1859
0,12,0,2,0,863,1859
0,13,0,3,0,735,1859
0,14,0,3,1,2176,1859
0,15,1,4,2,3844,1859
1,0,0,2,1,2728,1969
1,1,0,2,0,866,1969
1,2,0,3,0,1246,1969
1,3,0,3,0,1261,1969
1,4,0,2,0,624,1969
1,5,0,2,0,110,1969
1,6,0,2,0,400,1969
1,7,0,2,0,83,1969
1,8,0,3,0,1910,1969
1,9,0,2,0,465,1969
1,10,0,2,0,528,1969
1,11,0,2,0,1265,1969
1,12,0,2,0,720,1969
1,13,0,2,0,369,1969
1,14,0,2,0,938,1969
1,15,0,2,0,1390,1969
2,0,0,2,1,2361,1767
2,1,0,2,0,713,1767
2,2,0,1,0,832,1767
2,3,0,3,0,1071,1767
2,4,0,2,0,632,1767
2,5,0,2,0,126,1767
2,6,0,2,0,442,1767
2,7,0,2,0,126,1767
2,8,0,2,1,1975,1767
2,9,0,2,0,429,1767
2,10,0,1,0,412,1767
2,11,255,0,0,0,0
2,12,0,1,0,319,1767
2,13,0,2,0,157,1767
2,14,0,2,0,530,1767
2,15,0,2,0,289,1767
3,0,0,2,1,1685,1379
3,1,0,2,0,583,1379
3,2,0,1,0,611,1379
3,3,0,2,0,776,1379
3,4,0,2,0,741,1379
3,5,0,2,0,263,1379
3,6,0,2,0,432,1379
3,7,0,2,0,85,1379
3,8,0,2,1,1503,1379
3,9,0,2,0,555,1379
3,10,0,1,0,367,1379
3,11,0,2,0,679,1379
3,12,0,2,0,243,1379
3,13,0,2,0,120,1379
3,14,0,2,0,386,1379
3,15,0,2,0,207,1379
4,0,0,4,1,2386,1649
4,1,0,2,0,962,1649
4,2,0,2,0,1421,1649
4,3,0,2,0,985,1649
4,4,0,2,0,589,1649
4,5,0,2,0,318,1649
4,6,0,3,0,642,1649
4,7,0,1,0,75,1649
4,8,0,3,0,1635,1649
4,9,0,2,0,553,1649
4,10,255,0,0,0,0
4,11,0,2,0,893,1649
4,12,0,1,0,133,1649
4,13,0,2,0,45,1649
4,14,0,2,0,322,1649
4,15,255,0,0,0,0
5,0,0,4,1,2977,2064
5,1,0,2,0,1268,2064
5,2,0,3,0,1420,2064
5,3,0,2,0,1007,2064
5,4,0,2,0,745,2064
5,5,0,2,0,389,2064
5,6,0,2,0,753,2064
5,7,0,2,0,273,2064
5,8,0,3,1,2527,2064
5,9,0,2,0,852,2064
5,10,0,2,0,606,2064
5,11,0,2,0,804,2064
5,12,0,2,0,337,2064
5,13,0,2,0,132,2064
5,14,0,2,0,498,2064
5,15,0,1,0,80,2064
6,0,0,2,1,1997,1703
6,1,0,2,0,579,1703
6,2,0,1,0,1048,1703
6,3,0,3,0,1090,1703
6,4,0,2,0,274,1703
6,5,0,2,0,145,1703
6,6,0,2,0,388,1703
6,7,0,1,0,189,1703
6,8,0,2,1,1902,1703
6,9,0,2,0,355,1703
6,10,255,0,0,0,0
6,11,0,3,0,882,1703
6,12,0,2,0,72,1703
6,13,0,2,0,60,1703
6,14,0,1,0,171,1703
6,15,0,1,0,117,1703
7,0,0,3,1,2148,1561
7,1,0,3,0,1135,1561
7,2,0,2,0,522,1561
7,3,0,2,0,638,1561
7,4,0,2,0,758,1561
7,5,0,2,0,337,1561
7,6,0,2,0,388,1561
7,7,0,2,0,195,1561
7,8,0,3,1,1948,1561
7,9,0,3,1,1590,1561
7,10,255,0,0,0,0
7,11,0,2,0,678,1561
7,12,0,1,0,329,1561
7,13,255,0,0,0,0
7,14,0,2,0,243,1561
7,15,255,0,0,0,0
